rank,handle,name,platform,already_in_db,tweets_fetched,prefilter_survivors,raw_predictions,xnative_survivors,youtube_survivors,yield_net,tweets_per_week,est_predictions_per_week,crypto_share,span_days,oldest,newest
133,LadeBackk,LADE BACKK,x,yes,40,1,0,0,0,0.0,9.7,0.0,0.0,29,2026-05-01,2026-05-30
134,Mayhem4Markets,Markets & Mayhem,x,yes,40,9,0,0,0,0.0,280.0,0.0,0.0,1,2026-06-08,2026-06-09
135,MartyChargin,Marty Chargin,x,yes,40,11,0,0,0,0.0,70.0,0.0,0.0,4,2026-06-05,2026-06-09
136,McnallieM,McNallie Money,x,yes,40,21,0,0,0,0.0,280.0,0.0,0.0,1,2026-06-08,2026-06-09
137,0xc06,Onur 🍌🦍,x,yes,40,26,0,0,0,0.0,12.2,0.0,0.0,23,2026-05-16,2026-06-09
138,TheRayMyers,Ray Myers,x,yes,40,32,0,0,0,0.0,40.0,0.0,0.0,7,2026-06-01,2026-06-09
139,FakeRosaParkXBT,Rosa Parks 🇮🇱,x,yes,40,6,0,0,0,0.0,93.3,0.0,0.0,3,2026-06-06,2026-06-09
140,Tee_Kudos,Tee Kudos 🐾,x,yes,40,0,0,0,0,0.0,,,0.0,0,2026-06-09,2026-06-09
141,VJLvEekhout,The Bullion Duster,x,yes,40,0,0,0,0,0.0,,,0.0,0,2026-06-08,2026-06-09
142,realwolfofdubai,Wolf Of Dubai 💲,x,yes,40,8,0,0,0,0.0,93.3,0.0,0.0,3,2026-06-05,2026-06-09
143,Zac_Markovich,Zachary Markovich,x,yes,40,5,0,0,0,0.0,140.0,0.0,0.0,2,2026-06-07,2026-06-09
